h0,rs,gap
30.0,50.0,0.22704151
30.0,66.66666666666667,0.23297847
30.0,83.33333333333334,0.23974576
30.0,100.0,0.24513216
30.0,116.66666666666667,0.24909168
30.0,133.33333333333334,0.24999186
30.0,150.0,0.25232115
30.0,166.66666666666669,0.25115238
30.0,183.33333333333334,0.25131233
30.0,200.0,0.25316873
30.464444444444446,50.0,0.22269051
30.464444444444446,66.66666666666667,0.22746147
30.464444444444446,83.33333333333334,0.23299051
30.464444444444446,100.0,0.23522079
30.464444444444446,116.66666666666667,0.23661817
30.464444444444446,133.33333333333334,0.23300849
30.464444444444446,150.0,0.23931958
30.464444444444446,166.66666666666669,0.24004407
30.464444444444446,183.33333333333334,0.24763657
30.464444444444446,200.0,0.24669764
30.92888888888889,50.0,0.2180324
30.92888888888889,66.66666666666667,0.23118992
30.92888888888889,83.33333333333334,0.2276753
30.92888888888889,100.0,0.23047631
30.92888888888889,116.66666666666667,0.23363342
30.92888888888889,133.33333333333334,0.23464767
30.92888888888889,150.0,0.23458681
30.92888888888889,166.66666666666669,0.23621166
30.92888888888889,183.33333333333334,0.23888051
30.92888888888889,200.0,0.24222637
31.393333333333334,50.0,0.22216036
31.393333333333334,66.66666666666667,0.22529345
31.393333333333334,83.33333333333334,0.23195717
31.393333333333334,100.0,0.2352275
31.393333333333334,116.66666666666667,0.23776655
31.393333333333334,133.33333333333334,0.24022727
31.393333333333334,150.0,0.2399624
31.393333333333334,166.66666666666669,0.23957762
31.393333333333334,183.33333333333334,0.23988964
31.393333333333334,200.0,0.24113837
31.857777777777777,50.0,0.21332087
31.857777777777777,66.66666666666667,0.22273351
31.857777777777777,83.33333333333334,0.23014758
31.857777777777777,100.0,0.23182702
31.857777777777777,116.66666666666667,0.22830591
31.857777777777777,133.33333333333334,0.23414927
31.857777777777777,150.0,0.23207349
31.857777777777777,166.66666666666669,0.23400091
31.857777777777777,183.33333333333334,0.24034019
31.857777777777777,200.0,0.23539351
32.32222222222222,50.0,0.21019749
32.32222222222222,66.66666666666667,0.21917041
32.32222222222222,83.33333333333334,0.22706936
32.32222222222222,100.0,0.23052377
32.32222222222222,116.66666666666667,0.23146697
32.32222222222222,133.33333333333334,0.23109403
32.32222222222222,150.0,0.2323155
32.32222222222222,166.66666666666669,0.23627533
32.32222222222222,183.33333333333334,0.23731178
32.32222222222222,200.0,0.23681539
32.78666666666667,50.0,0.21142026
32.78666666666667,66.66666666666667,0.21413619
32.78666666666667,83.33333333333334,0.22610993
32.78666666666667,100.0,0.2299907
32.78666666666667,116.66666666666667,0.23158642
32.78666666666667,133.33333333333334,0.23015218
32.78666666666667,150.0,0.23136369
32.78666666666667,166.66666666666669,0.23422578
32.78666666666667,183.33333333333334,0.23990683
32.78666666666667,200.0,0.23946032
33.251111111111115,50.0,0.20560196
33.251111111111115,66.66666666666667,0.21485526
33.251111111111115,83.33333333333334,0.22170366
33.251111111111115,100.0,0.22358966
33.251111111111115,116.66666666666667,0.22529145
33.251111111111115,133.33333333333334,0.22578844
33.251111111111115,150.0,0.22733374
33.251111111111115,166.66666666666669,0.23320834
33.251111111111115,183.33333333333334,0.23149382
33.251111111111115,200.0,0.23107076
33.715555555555554,50.0,0.2121498
33.715555555555554,66.66666666666667,0.21744726
33.715555555555554,83.33333333333334,0.21623271
33.715555555555554,100.0,0.21978014
33.715555555555554,116.66666666666667,0.22210021
33.715555555555554,133.33333333333334,0.22397556
33.715555555555554,150.0,0.22794727
33.715555555555554,166.66666666666669,0.23135885
33.715555555555554,183.33333333333334,0.22753278
33.715555555555554,200.0,0.23415897
34.18,50.0,0.21376069
34.18,66.66666666666667,0.21792188
34.18,83.33333333333334,0.22243055
34.18,100.0,0.22247315
34.18,116.66666666666667,0.22133276
34.18,133.33333333333334,0.22654928
34.18,150.0,0.22481891
34.18,166.66666666666669,0.23087594
34.18,183.33333333333334,0.22969785
34.18,200.0,0.23149755
