GAP,(h0-h1)/rd,h0+h1,h2,rs,w0,w1,rd
0.2213542901,1.0425409179,60.2389889098,0.0585750678,188.2608741034,33.2785750234,37.3752127918,2.4818863607
0.203148101,0.8000006152,59.9210410158,0.0305808051,94.7478500021,33.1643395361,39.4043315033,2.0187394501
0.1670303069,0.9995278536,66.1326548094,0.311037619,110.909908162,32.7453617104,33.5098748067,2.1786380713
0.2191614914,1.1999998579,62.0501333554,0.8304286034,87.9992523269,32.6424528246,36.0180777792,2.7725436287
0.1956242008,0.8340373599,66.3249913486,0.998397473,86.4129744163,33.4722672753,33.1211348487,2.0647701924
0.1981899196,0.8550017592,65.7844316381,0.5553512328,66.5236613409,33.3708574772,33.0861332514,2.9323178249
0.204637026,0.9953546277,65.4488981666,0.9195196761,59.9499908738,32.5650444266,33.2336775785,2.8840012585
0.2042815803,1.1999999966,60.693716918,0.0004007735,88.7087762163,33.8272726301,40.3002562897,2.3328775924
0.2733025557,1.1999999235,62.3569966146,1,189.870374905,32.74061787,42,2.6531988291
0.1901708221,1.1999999311,59.9457870438,0.1335714359,59.2356486733,33.4243304349,39.6659243245,2.0528196187
0.2172899535,0.8380388488,65.9555195542,0.0643965281,156.4118837712,31.3291497639,33.1796560637,2.7434746902
0.2398601201,1.1079493028,60.4732979486,0.0436616066,136.8154527721,34.1428848334,39.3367633225,2.9846313679
0.1791550432,0.8000000118,66.3548853643,0,108.0445273766,33.5047110088,33,2.5063932575
0.1778521262,0.9803462407,65.9757338451,0.0603573712,60.7414805827,34.3209237265,34.3493753446,2.1204895855
0.1863251317,0.8279451689,66.6461845835,0.0707033913,183.6382966318,33.9832925272,34.052963803,2.0470644985
0.2565328582,1.1999999834,64.3860909552,0.9638376182,171.5206242068,32.7652685745,42,2
0.191154858,0.9288335565,65.1966114485,0.966869967,57.879896873,33.7736466329,34.8903994452,2.0658338482
0.3108295977,1.1879415688,63.7573132378,0.1179915251,196.0761295403,31.5746973439,41.7543443596,2.1050550832
0.3069382292,0.8000002832,66.4654496487,0.3970885865,200,31.9913241597,42,2.3681871009
0.2057292021,0.8243193356,62.7432652277,0.0291481824,137.1855183556,33.0621757481,34.173564761,2.8351350257
0.2012158357,0.9885382665,65.4886455807,0.0867616004,92.7612676466,33.8709586546,33.1613732272,2.8489859016
0.1837907299,0.800001104,66.3752967806,0.083589938,174.7556043426,33.2916250452,33,2.4808756007
0.2022699299,0.8000000224,65.9599999327,0.4344535353,103.904231222,32.0591130974,33,3
0.2557282194,0.8000005219,60.2129034667,0.9879896571,94.0403451733,34.2791034458,36.1760635048,2.7878286586
0.1753395537,0.8000000149,66.5999168945,0.1534212284,103.5429174528,32.6802830629,35.3281052623,2.0373217392
0.1803028806,1.0037136595,65.0413791906,0.0607344892,51.7727237957,32.3577113023,33.6077958126,2.9823791813
0.2355233145,1.1020918726,60.308615301,0.0637239714,52.162389312,34.5887870411,33.8239842664,2.998301287
0.2386324515,0.8000000005,60.395169628,0.0952320497,198.7522594089,33.3344633426,40.9917183114,2.2789538157
0.2206309987,0.8000000606,64.933037934,0.0655213169,181.6184789598,33.0722268058,36.1438585773,2.7226319053
0.1778025675,1.1999991807,61.7218244161,0,50,33.4328013989,38.1932640006,2.4613102464
0.2276080426,0.8713902001,65.0157800126,0.3613234379,54.1683174098,31.3936571285,37.7972346702,2.9777984919
0.2718807875,1.1978910018,62.4796433011,0.5921796333,165.494649983,32.791311305,41.708996158,2.9693385488
0.1713677094,1.0917794435,65.6939310644,0.0944027821,66.9311867504,33.2895968614,39.7700273082,2.0707930806
0.3500558016,0.818247045,65.5428837601,0.0242132855,52.3333432237,30.3256428692,41.9564888091,2.9169548645
0.1765140082,1.1600673988,64.773683109,0.0357935157,55.7105354425,32.7895837235,38.3009924697,2.10253197
0.2321387153,1.199999764,59.7601665624,0.5192821239,99.9871976909,33.3756425402,36.2190518151,3
0.258279369,0.8000000637,61.7672112094,0.306067313,91.5281946276,32.453736241,39.6481792686,2.7753211353
0.5369882436,0.8511473523,66.3692723865,0.9302348035,73.9955287884,35.3926450983,33.1011185497,2.1240467121
0.1738225897,1.1470585512,65.3804947575,0.3045400568,139.5963726564,33.1452151779,34.3706614652,2.2924770333
0.2318607469,0.8000003232,63.3514371515,0.9829757938,79.3247082907,33.2403720748,33.5847683634,2.9926926029
0.1990165516,1.1999999723,65.0043525698,0.0229969175,154.5039462811,33.6086272123,33.0849552023,2.6895332096
0.2206663557,1.0341293539,64.5669475309,0.0443479809,189.4259191938,32.4772432235,37.7084896772,2.1121275477
0.2844584802,0.8164593174,59.5512769254,0.9669215074,190.0949720935,33.8054312393,41.7420270708,2.5517124457
0.2499073487,0.8638138677,59.3081419638,0.5322384927,189.5580695783,34.2157959583,37.9376479345,2.4710272997
0.1777467667,0.800000022,65.9599999339,0.4647380205,50,31.8107758911,33,3
0.2379637908,0.8000000597,59.5664091286,0.6359724776,132.7226365978,33.9798516957,38.4430404613,2.2734855108
0.2057268288,1.0983742832,62.5834109945,0.0201152252,59.6301978446,32.8155716386,41.839264593,2.0963434512
0.1898805117,0.8962561274,65.6905797322,0.9849825184,77.9048687882,32.8741236849,34.3899251235,2.0803243468
0.1442648594,1.1999994809,65.7178818662,0.6222533299,56.2527900492,33.0614822091,35.3254927838,2.0251381513
0.1844892933,0.8228176167,66.0656214228,0.6190318292,119.9094544181,32.2901062503,33.3386828065,2.3066903562
0.2174096813,0.960040418,65.2135414791,0.0130923712,62.0768609855,34.0801480368,33.4848844642,2.9529744164
0.2382250024,0.9420596478,58.5696150075,0.3542548146,199.198617756,33.6083661581,38.8172758371,2.0848937229
0.2470680334,0.8855656843,58.4842660679,0.9785490202,75.4536742571,34.1621185478,37.9284684368,2.0208938032
0.2390284999,1.1999987821,60.4166566987,0.9849304768,50,34.3348033758,36.5611676335,2
0.2597347502,0.8000002584,66.7599994832,0,50,34.8542103157,42,2
0.2617707125,1.1317968993,57.0713530402,0.9397309413,53.3044540584,34.4841302743,35.820211503,2.6930908705
0.2915097095,1.1999914034,57.108064154,1,102.9142221427,34.6683087213,38.2117481652,2.4099638029
0.2376485858,0.8000002058,58.3999995885,1,50,34.1369439036,41.7353378854,2
0.229621949,0.8452054557,58.3420347855,0.7349373277,53.0076878216,33.9051540071,38.1610664358,2.2821728804
0.2170907651,0.8000036433,66.326503043,1,135.4867805764,32.2954409727,34.7176189709,2.5418596204
0.2023209417,1.1999993576,60.278616361,0.6875520631,50,33.8991628737,36.0474156933,2.4229235915
0.2422171346,0.8162970594,63.0729874281,0.9715880459,147.8856150267,33.1780629602,40.8372510426,2.1371579057
0.2268746297,1.0471574628,59.4461135883,0.9106424407,58.0692319415,34.1344780918,37.7820754154,2.3468538635
0.1768966115,1.1999988066,65.1728259708,0.3327753646,50,32.9705613884,33,2.655980999
0.3361590581,1.1980923703,63.8697371218,0.3805652518,88.1507507184,31.2715106461,41.8806475294,2.9935085698
0.2010135206,1.1999986827,65.5474138318,0.0045605237,200,33.7140367123,38.6202558258,2.3438243797
0.2049610896,1.1651815295,65.5296417419,0.03546445,133.0694447732,32.9848859459,40.8073344264,2.0050962514
0.2247872739,0.8393556393,66.4372816819,0.6631396869,189.9106424634,32.5650727424,38.0762880271,2.1551656984
0.1716814648,0.8000035666,66.7599928668,0,142.9030260742,33.4374349064,33,2
0.2202642392,0.8000017944,63.4466806803,1,70.5733866917,33.6901386339,41.4573281874,2
0.2211036449,0.8000023295,60.0134945044,0,111.1597099069,34.114227691,33,3
0.1916638673,0.8000030931,66.1711756841,0.3810166601,85.3487943179,32.425992161,33.30678336,2.7360198164
0.1968526573,0.8000000831,60.7282945054,0.2414712868,50,33.726799164,33,2.7322872823
0.2466208095,0.84973295,66.2108691316,0.999452782,199.5624489773,33.5333112693,40.6531899538,2.4188909571
0.8568659342,1.1267880572,58.7772658805,0.9763242495,51.6628577245,35.9510653809,38.9405637134,2.0120371921
0.1771048297,0.9221114501,61.3195249525,0.7656464293,51.208767996,33.1811259194,36.3814150804,2.0200169253
0.1789578529,0.8000019636,62.0080179959,1,50,33.1451585043,37.6136066299,2.0026501537
0.1974166645,0.8000005176,61.1049471612,0,96.1942301965,33.1738019737,35.9081585004,2.352744107
0.1584905068,1.1999986503,65.7431292188,0.7036645232,93.5168886519,32.8458607192,33.1679888764,2.1694630392
0.2628365711,0.8771217611,59.9821496807,0.688391987,113.919355135,32.5393533987,41.7379701199,2.1007155412
0.2017083572,0.8000000364,60.1304625323,0,72.4926363987,33.1233636253,36.3931502819,2.6114701573
0.2292558552,0.8000140613,59.2654753625,1,50,33.6734838886,35.3447984104,2.382336414
0.2296414372,1.1999970869,58.5967316572,0.8417573874,80.6995614458,33.5962172944,36.8407946002,2.6762146788
0.3154767849,1.1999972053,57.6186262445,1,50,34.6862086352,33,3
0.1881082505,0.8000020933,66.7599958134,0.6222840849,127.4953178356,32.4812153548,34.440937724,2
0.203672704,0.8000003884,61.7346713847,0.0441521363,67.4824161061,33.5847604319,33.1777721254,2.9837422105
0.2365228488,0.808271765,58.50995006,0.6576908604,167.3317199963,33.7270843396,40.8622202284,2.0333470454
0.2509559638,0.8934215395,58.1173708954,0.1440828009,62.9018380562,34.4702370476,33.6851198962,2.9536377778
0.2655724906,1.1636812712,58.5554211802,0.9634430023,118.5323560534,33.3081200657,41.9448977135,2.0129876094
0.5968067209,0.9531739879,57.7787857457,0.9856910914,148.16950994,34.0595186545,41.2412748325,2.7560614909
0.2109828109,1.0006089614,65.1886242371,0.0097769787,50.1340518189,34.4640833796,38.326988697,2.7583253543
0.2389005937,1.0325468576,65.3629835872,0.9217099051,106.219775252,31.8414836513,36.3078604565,2.8004530365
0.2016840513,1.1629899715,62.6713250784,0.0080950237,67.7812080091,33.8165078099,33.0389415507,2.6670023685
0.1928607463,1.1999970489,59.4659667268,0,50,34.0260532609,33.5938948149,2.4972404565
0.1860659966,1.157018051,65.6809991473,0.0564733416,111.9355321297,32.6844814453,37.4993818811,2.1106632453
0.3002529237,0.8000000728,61.4110887106,0.984828216,189.8626802354,34.7647399666,41.9686963308,2.9879413716
0.2319454649,1.0448192926,64.1616533191,0.7188186071,60.1656852741,31.6043771395,35.1462069346,2.9667200786
0.1864812678,1.0165350036,64.2487243129,0.9820504604,50.7074397294,33.4630210135,34.0676341662,2.049540514
0.1982243477,1.1999992224,59.4115303808,0.8987758237,50,33.2239601871,38.3450159898,2.0463684211
0.1858673841,0.8000040126,58.4442044741,0.2464803985,51.3172376346,33.6559097977,35.9425889758,2.0000214409
0.1501898179,0.9510540166,63.9606451875,0.0813396609,63.7628969069,33.1832720463,33.4974541311,2.01256926
0.1547157824,0.8000000768,60.6794970073,0,50,33.4599931393,36.1442127822,2
0.2610439889,0.8605939285,66.5062148813,0.9870713647,126.8063850494,32.33493704,41.870908288,2.0106897718
0.1719161605,1.1768925536,65.3011032463,0.8793194194,75.2871191454,33.138574972,37.6763153554,2.0333606486
0.1749141519,1.1999667871,61.0479295138,0.2696727942,50,33.7116129802,34.4579336275,2
0.1855456953,0.800001537,62.3191643362,0,50,34.1724075639,33,2.1710744776
0.1846700212,0.8000131956,58.9958968913,0.2198999637,50,33.7880558422,35.6288710024,2.309029668
0.2354084242,0.8650165644,58.8293579321,0.174725337,50.3107641819,34.4698347188,41.3170412739,2.0040994607
0.2041019424,0.8000006066,64.1966240858,0,200,33.8841131745,33,2.9601068596
0.1939195907,1.1999999009,62.6205081485,0.3331007599,105.5288292494,33.1768624088,33.9112174086,2.5380312587
0.2035147844,1.1999871775,60.274300765,0,121.449427889,33.1130665913,36.3829331144,2.6889796437
0.2306670385,1.1999997605,57.4201919598,0.752932667,66.3540854958,34.2195725331,35.497270188,2.3035460785
0.190534973,1.1999896599,65.3372997792,0.58282499,110.260677698,32.9676730147,33,2.5189385557
0.2273063789,1.1446486646,62.9939031763,0.0187709595,77.7151800738,33.5517030124,41.8465818509,2.9787924217
0.1708220872,0.8241535957,66.0363770323,0.2368416439,76.0029962899,33.4149888225,34.3575396354,2.0112615223
0.2002067765,1.1999911961,60.1165284619,0.2029474516,70.0923270406,33.5463785585,34.1531996185,2.7107653946
0.1911731,0.8000023179,63.58763422,0.2703565753,136.3867909147,33.2023797403,34.6530623902,2.2825935074
0.2300312634,0.8000005019,58.2971700053,0.6340102455,123.9557545118,33.5813628471,37.981539801,2.1285361581
0.1934969632,0.8522703313,66.2017531502,0.1714737481,160.0352884967,32.6175587702,36.8025960918,2.0119201738
0.1891467157,0.9951810108,65.5133225945,0.1708283343,197.5377854825,33.222211758,35.21621003,2.2677901694
0.1431319896,1.1999990473,65.6591142955,0.3166217145,52.0505864185,33.0413984539,33.1662607914,2.0043224
0.181895406,0.8000005934,59.8115575947,0.0274355471,50.4796168081,33.707395792,39.3120605134,2.114060453
0.1932516979,1.1628676143,65.7752525126,0.9973402127,50.1554753641,33.6374691953,36.4330564249,2.1301176009
0.1912210762,0.8000029696,66.3467462655,1,71.7368243011,32.3497041404,33.1747262145,2.5165578268
0.2468267705,0.8000000496,61.7877529274,0,200,33.9761187491,37.3910093531,3
0.2324726668,1.1999980269,58.3513128559,0.5635485135,50,34.255612863,33.7396917529,2.6904277817
0.2500671288,0.8689044819,61.701912254,0.9920431976,106.9012528431,32.8077004153,41.7926078146,2.0536771459
0.2087205965,0.8420111241,63.2393867784,0.0374529977,50.6753079365,32.2953187569,40.0519986483,2.7509432515
0.2441626479,0.8531542479,61.3846074784,0.3531979606,118.8067236972,33.3123488492,41.8673105939,2.0240448142
0.2089862692,0.8000001597,66.5849816648,0.4580799595,123.3865530032,32.0660328384,36.2144586305,2.2187724761
0.2139927378,1.1999985795,63.0840764684,0.4903011289,50,33.6309878463,33,2.6363933897
0.2572061685,0.8543870461,62.322186379,0.759272109,193.1717582152,33.4792396498,41.7280349766,2.1747821541
0.1585953684,0.80000511,66.2181326562,0.7650101086,50,32.0193079039,34.5318828202,2.6773170783
0.1799337981,1.1999992174,60.5419474613,0.2371949202,50,33.3897877456,36.2530088407,2.1778831187
0.2622393722,0.8466396048,58.3242866145,0.8225361667,178.723116902,33.8907765911,38.796534214,2.2364525221
0.200273399,1.1999998804,65.7326471376,0.9895472114,190.3546365106,32.9127648419,37.6316673848,2.1686153842
0.1743592133,1.1999987932,65.5774230953,0.1197312623,113.8143954636,33.5414685668,33.0508872389,2.0038643237
0.162096681,1.1999999532,61.4841379765,0,50,33.3652355313,38.2677559738,2
0.1820499237,0.9722398633,60.3239156157,0,50,33.7147381103,35.8546515049,2.2400629696
0.2075791321,1.1999993638,65.129773074,0.1263202307,200,33.3487876674,34.3437965976,2.6918571987
0.1621473364,0.8000013681,64.3813840759,0,73.7615075027,33.897500798,33,2.0069256132
